wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
703,0.4236,1.724,0.8797,0.07779,0.41985,0.055999,0.048579
704,0.424,1.704,0.876,0.07601,0.4168,0.055968,0.048491
705,0.4276,1.684,0.8752,0.07437,0.4138,0.055939,0.048408
706,0.432,1.664,0.876,0.07286,0.41088,0.055913,0.048329
707,0.4346,1.644,0.8767,0.07147,0.40802,0.05589,0.048256
708,0.436,1.624,0.876,0.0702,0.40524,0.055868,0.048187
709,0.4374,1.606,0.8736,0.06904,0.40255,0.05585,0.048123
710,0.44,1.588,0.872,0.06798,0.39995,0.055833,0.048064
711,0.4442,1.568,0.8733,0.06702,0.39744,0.055819,0.04801
712,0.448,1.548,0.876,0.06615,0.39504,0.055808,0.047962
713,0.45,1.532,0.8781,0.06536,0.39275,0.0558,0.047918
714,0.452,1.516,0.88,0.06465,0.39057,0.055793,0.04788
715,0.456,1.499,0.8823,0.064,0.38849,0.05579,0.047846
716,0.46,1.48,0.884,0.06343,0.38652,0.055789,0.047819
717,0.4621,1.462,0.8841,0.0629,0.38464,0.055791,0.047797
718,0.464,1.444,0.884,0.06243,0.38285,0.055796,0.04778
719,0.4676,1.428,0.8852,0.06201,0.38115,0.055803,0.047769
720,0.472,1.412,0.888,0.06162,0.37953,0.055813,0.047763
721,0.476,1.397,0.8922,0.06126,0.37799,0.055826,0.047763
722,0.48,1.384,0.896,0.06092,0.37652,0.055842,0.047769
723,0.4845,1.373,0.8981,0.06061,0.37512,0.05586,0.047781
724,0.488,1.36,0.9,0.0603,0.37378,0.055882,0.047799
725,0.49,1.346,0.9036,0.06,0.3725,0.055906,0.047822
726,0.4935,1.335,0.908,0.0597,0.37128,0.055933,0.047852
727,0.4982,1.325,0.9121,0.05939,0.37011,0.055964,0.047888
728,0.503,1.315,0.916,0.05909,0.36898,0.055997,0.04793
729,0.5069,1.308,0.92,0.05878,0.36789,0.056033,0.047978
730,0.5102,1.303,0.924,0.05847,0.36683,0.056072,0.048033
731,0.5133,1.298,0.9281,0.05816,0.36581,0.056114,0.048094
732,0.517,1.295,0.932,0.05784,0.36481,0.05616,0.048161
733,0.5216,1.295,0.9357,0.05753,0.36384,0.056208,0.048235
734,0.5267,1.295,0.94,0.05721,0.36288,0.05626,0.048315
735,0.532,1.296,0.9458,0.05689,0.36194,0.056315,0.048402
736,0.5371,1.303,0.952,0.05657,0.361,0.056373,0.048496
737,0.5418,1.31,0.9577,0.05625,0.36007,0.056434,0.048596
738,0.546,1.316,0.964,0.05593,0.35914,0.056499,0.048704
739,0.5498,1.328,0.972,0.05561,0.35822,0.056567,0.048818
740,0.5534,1.341,0.98,0.05528,0.35729,0.056638,0.048939
741,0.557,1.355,0.9864,0.05496,0.35637,0.056712,0.049067
742,0.561,1.37,0.992,0.05463,0.35544,0.05679,0.049202
743,0.5656,1.389,0.998,0.0543,0.3545,0.056871,0.049345
744,0.5706,1.408,1.004,0.05398,0.35356,0.056956,0.049494
745,0.576,1.427,1.01,0.05365,0.35261,0.057044,0.049651
746,0.5816,1.45,1.016,0.05332,0.35164,0.057135,0.049816
747,0.587,1.474,1.024,0.05299,0.35067,0.057231,0.049987
748,0.592,1.497,1.032,0.05266,0.34968,0.057329,0.050167
749,0.5963,1.521,1.038,0.05233,0.34867,0.057431,0.050353
750,0.6001,1.546,1.044,0.052,0.34764,0.057537,0.050548
751,0.6039,1.57,1.052,0.05167,0.34659,0.057646,0.05075
752,0.608,1.594,1.06,0.05134,0.34552,0.057759,0.05096
753,0.6128,1.614,1.068,0.05101,0.34442,0.057876,0.051178
754,0.6182,1.635,1.076,0.05068,0.3433,0.057996,0.051403
755,0.624,1.655,1.086,0.05035,0.34214,0.05812,0.051637
756,0.63,1.665,1.096,0.05002,0.34096,0.058248,0.051878
757,0.6357,1.673,1.104,0.04969,0.33974,0.05838,0.052128
758,0.641,1.682,1.112,0.04937,0.33849,0.058515,0.052386
759,0.6455,1.682,1.122,0.04904,0.3372,0.058655,0.052652
760,0.6495,1.675,1.132,0.04871,0.33588,0.058798,0.052926
761,0.6536,1.667,1.14,0.04839,0.33451,0.058945,0.053208
762,0.658,1.657,1.148,0.04806,0.3331,0.059096,0.053499
763,0.6632,1.634,1.157,0.04774,0.33165,0.05925,0.053799
764,0.669,1.612,1.168,0.04742,0.33015,0.059409,0.054107
765,0.675,1.59,1.181,0.0471,0.3286,0.059572,0.054424
766,0.681,1.558,1.192,0.04678,0.32701,0.059739,0.054749
767,0.6868,1.526,1.2,0.04646,0.32537,0.05991,0.055083
768,0.692,1.494,1.208,0.04615,0.3237,0.060085,0.055426
769,0.6966,1.459,1.222,0.04584,0.32199,0.060264,0.055778
770,0.7009,1.423,1.236,0.04552,0.32026,0.060447,0.056139
771,0.7052,1.387,1.247,0.04522,0.31849,0.060634,0.056509
772,0.71,1.351,1.256,0.04491,0.3167,0.060826,0.056887
773,0.7156,1.317,1.265,0.0446,0.31489,0.061022,0.057275
774,0.7217,1.283,1.276,0.0443,0.31306,0.061222,0.057673
775,0.728,1.248,1.288,0.044,0.31122,0.061426,
